ID,Sentences,niveau1,niveau2,niveau3,combined_labels,Sentences_clean
468,"Bref je suis assez désemparer, tout me saute au visage",partage_experience,symptome,negatif,partage_experience_symptome_negatif,bref assez désemparer tout saute visage
166,"En ce moment j'aime bien mon masque actuel et j'en ai essayé pleins, il a des aimants en attache et c'est un ""bucco-nasale"" .",partage_experience,traitement,non,partage_experience_traitement_non,moment aime bien masque actuel essayé pleins a aimants attache bucco nasale
48,Est-ce que quelqu'un pourrait m'éclairer sur ce sujet?,recherche_information,diagnostique,non,recherche_information_diagnostique_non,quelqu pourrait éclairer sujet
457,Bon courage à vous tous et encore merci!,fonction_phatique,NA_CATEGORY,positif,fonction_phatique_NA_CATEGORY_positif,bon courage tous encore merci
254,peut-être est-ce lié ?,recherche_information,diagnostique,non,recherche_information_diagnostique_non,peut être lié
306,Quelqu'un a t-il vécu quelque chose de similaire ?,recherche_information,symptome,non,recherche_information_symptome_non,quelqu a vécu quelque chose similaire
321,Demandez à votre prestataire.,partage_experience,diagnostique,non,partage_experience_diagnostique_non,demandez prestataire
425,"J’essaie donc la nuit dernière l’appareil mais c’est l’horreur : j’ai l’impression d’avoir un ventilateur dans la bouche (même quand ça ne fuit pas) et ça m’empêche complètement de dormir, d’autant plus que je bouge beaucoup.",partage_experience,symptome,negatif,partage_experience_symptome_negatif,essaie nuit dernière appareil horreur impression avoir ventilateur bouche quand fuit pa empêche complètement dormir autant plus bouge beaucoup
959,(J’avais de petits ganglions dans l’abdomen infracentrimetrique lors du scanner abdomino pelvien et rien au scanner thoracique ( je les avais fais la semaine avant l’opération).,partage_experience,symptome,non,partage_experience_symptome_non,petits ganglion abdomen infracentrimetrique lors scanner abdomino pelvien rien scanner thoracique fais semaine avant opération
320,:) et il ne fais pas du tout mal et ne marque pas.,partage_experience,traitement,non,partage_experience_traitement_non,EMOJI SMILE fais pa tout mal marque pa
310,"Si la fatigue persiste, refaites le point avec votre médecin.",partage_experience,traitement,non,partage_experience_traitement_non,si fatigue persiste refaites point médecin
987,"Voilà je vous explique ma situation, j'ai 24 ans et je fume (6 cigarettes par jours) depuis 6 ans environs, depuis 1 semaine j'ai des douleurs intercostale et au niveau du bas du dos qui s'atténue avec le temps.",partage_experience,symptome,non,partage_experience_symptome_non,voilà explique situation NUM an fume NUM cigarette jours depuis NUM an environs depuis NUM semaine douleurs intercostale niveau ba do atténue temp
187,Au plaisir de vous lire.,fonction_phatique,NA_CATEGORY,positif,fonction_phatique_NA_CATEGORY_positif,plaisir lira
796,"Assurez-vous d'avoir un test de qualité ""hôpital"" et non pas un test à la maison.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,assurez avoir test qualité hôpital non pa test maison
874,Je continue de travailler ne pouvant faire du télétravail.,partage_experience,symptome,non,partage_experience_symptome_non,continue travailler pouvant faire télétravail
287,Merci pour votre réponse.,fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,merci réponse
989,"La semaine dernière j'ai forcé en faisant une série de pompes, une douleur est apparue entre mes côtes lorsque je respiré où selon ma position.",partage_experience,symptome,non,partage_experience_symptome_non,semaine dernière forcé faisant série pompes douleur apparue entre côtes lorsque respiré où selon position
636,"Et le problème c'est que je suis tellement fatiguée que je mets parfois un moment avant d'avoir le reflex de ""reprendre"" ma respiration (il me faut une tres tres grande inspiration) comme si je restais sous l'eau pendant très longtemps.",partage_experience,symptome,negatif,partage_experience_symptome_negatif,problème tellement fatiguée mets parfois moment avant avoir reflex reprendre respiration faut tres tres grande inspiration comme si restais sou eau pendant très longtemps
682,"Si ce n'est pas le cas pour toi, un avis médical s'impose.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,si pa ca avis médical impose
562,Je dois le rappeler cette semaine ...,partage_experience,traitement,non,partage_experience_traitement_non,doi rappeler cette semaine
384,J’ai l’ impression de dormir profondément....,partage_experience,symptome,non,partage_experience_symptome_non,impression dormir profondément
152,Je le fais déjà le week-end.,partage_experience,symptome,non,partage_experience_symptome_non,fais déjà week end
963,"Je ne pense pas qu'à ce stade vous soyez considéré comme une personne à risque puisque jusqu'à preuve du contraire, il s'agissait d'une tumeur bénigne.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,pense pa stade considéré comme personne risque puisque jusqu preuve contraire agissait tumeur bénigne
345,"et c’est très facile d’écouter même pendant la nuit, en cas de réveil.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,très facile écouter pendant nuit ca réveil
53,Avez vous des nouvelles informations sur ce type d´apnée du sommeil?,recherche_information,diagnostique,non,recherche_information_diagnostique_non,nouvelles information type apnée sommeil
157,"Pourtant, il m'est arrivé de dormir 4 heures d'affilée avec le masque et de me réveiller en pleine forme !",partage_experience,symptome,positif,partage_experience_symptome_positif,pourtant arrivé dormir NUM heures affilée masque réveiller pleine forme
962,Les résultats anapath vous parviendront sans aucun doute mais peut-être avec un peu de retard.,partage_experience,diagnostique,non,partage_experience_diagnostique_non,résultats anapath parviendront aucun doute peut être peu retard
315,"L'arrête de mon nez est rouge, gonflée et me fait mal.",partage_experience,symptome,non,partage_experience_symptome_non,arrête nez rouge gonflée fait mal
151,Que j'aurais tendance à dormir toute la journée.,partage_experience,symptome,non,partage_experience_symptome_non,tendance dormir toute journée
715,"C'était avant, presque 20 ans et depuis, je dors régulièrement avec la machine, je suis tout neuf.",partage_experience,symptome,positif,partage_experience_symptome_positif,avant presque NUM an depuis dors régulièrement machine tout neuf
718,"Cela est mon cas, j'espère tout de même lorsque j'aurai atteint mon objectif de santé pouvoir m'en séparer mais pour le moment cela n'est pas possible de fermer l'oeil sans la machine...",partage_experience,symptome,negatif,partage_experience_symptome_negatif,cela ca espère tout lorsque atteint objectif santé pouvoir séparer moment cela pa possible fermer oeil machine
149,"Lors de mon test de sommeil l'an passé, je faisais des apnées si sévères que mon pneumologue a arrêté de les compter.",partage_experience,symptome,non,partage_experience_symptome_non,lors test sommeil an passé faisais apnées si sévères pneumologue a arrêté compter
340,"La première nuit où je me suis endormie a été celle où je me suis dit en me couchant, « si je ne dors pas dans deux heures, j’enlève le masque, il faut que je dorme sinon je ne tiendrai pas le coup »",partage_experience,traitement,non,partage_experience_traitement_non,première nuit où endormie a celle où dit couchant si dors pa deux heures enlève masque faut dorme sinon tiendrai pa coup
78,JE ne pense pas que ce soit de l'apnée du sommeil.,partage_experience,diagnostique,non,partage_experience_diagnostique_non,pense pa apnée sommeil
123,"Bonjour, nouvelle sur ce forum j'espère pouvoir vous apporter quelques réponses.",partage_experience,diagnostique,positif,partage_experience_diagnostique_positif,bonjour nouvelle forum espère pouvoir apporter quelques réponses
309,"Le fait que votre tension artérielle ait baissé est plutôt une bonne nouvelle, cela montre que vous mettez le masque correctement et que la thérapie commence à faire effet.",partage_experience,diagnostique,positif,partage_experience_diagnostique_positif,fait tension artérielle baissé plutôt bonne nouvelle cela montre mettez masque correctement thérapie commence faire effet
502,Résultat rien n'as changer !,partage_experience,symptome,negatif,partage_experience_symptome_negatif,résultat rien a changer
436,j'ai vu mon médecin traitant qui m'a dit que si je voulais faire un affartus je n'avais que ca à faire.(ne pas mettre le masque),partage_experience,traitement,non,partage_experience_traitement_non,vu médecin traitant a dit si voulais faire affartus ca faire pa mettre masque
289,"Si elle décide d’effectuer le test d’apnée du sommeil, l’appareil est à se procurer en pharmacie ?",recherche_information,traitement,non,recherche_information_traitement_non,si décide effectuer test apnée sommeil appareil procurer pharmacie
993,J'aimerais connaître votre avis.,fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,aimerais connaître avis
645,je revais carrément que je m'étouffais donc je suppose qu'à ce moment bah je ne respirais plus!,partage_experience,symptome,negatif,partage_experience_symptome_negatif,revais carrément étouffais suppose moment bah respirais plus
354,Dois-je me lancer ?,recherche_information,traitement,non,recherche_information_traitement_non,doi lancer
177,"Aussi, j'ai décidé de le scotcher également.",partage_experience,traitement,non,partage_experience_traitement_non,aussi décidé scotcher également
127,Moi je ne dormais plus et je comptait les secondes ou il ne respirait plus.,partage_experience,symptome,negatif,partage_experience_symptome_negatif,dormais plus comptait secondes respirait plus
938,"Bonjour Docteur, J'ai terminé, mi janvier dernier, mon traitement chimio (3 séances de EC100 et 3 séances de Taxotère) contre un cancer du sein.",partage_experience,traitement,non,partage_experience_traitement_non,bonjour docteur terminé mi janvier dernier traitement chimio NUM séances ec NUM NUM séances taxotère contre cancer sein
709,Je vais apporter mon témoignage.,fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,vais apporter témoignage
764,"Bonjour à tous,",fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,bonjour tous
815,"On sait tout de même qu’elle se fait majoritairement par voie aérienne, via les postillons émis par la personne infectée.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,sait tout fait majoritairement voie aérienne via postillons émis personne infectée
947,"A priori, il devrait être suffisant ; vérifiez sur votre dernier bilan sanguin que vos leucocytes (globules blancs) étaient en nombre suffisant (plus de 3500 ou 4000), de même que les lymphocytes (plus de 1000), ces derniers étant les globules blancs les plus actifs contre les virus.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,a priori devrait être suffisant vérifiez dernier bilan sanguin leucocyte globule blanc nombre suffisant plus NUM NUM lymphocyte plus NUM derniers globule blanc plus actifs contre virus
945,"Bonjour Christiane,",fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,bonjour christiane
103,Mon pneumologue ne trouve pas de solution et mon médecin traitant me dit que ce n’est pas grave.,partage_experience,diagnostique,non,partage_experience_diagnostique_non,pneumologue trouve pa solution médecin traitant dit pa grave
541,bref il a bien voulu me faire une ordonnance pour aller voir un pneumologue .,partage_experience,traitement,non,partage_experience_traitement_non,bref a bien voulu faire ordonnance aller voir pneumologue
601,"Ma morphologie est l'inverse des cas habituels puisque je pese 85kg pr 1,65m et que le pneumothorax touche plutot des personnes grandes et longilignes.",partage_experience,symptome,non,partage_experience_symptome_non,morphologie inverse ca habituels puisque pese NUM kg pr NUM NUM pneumothorax touche plutot personnes grandes longilignes
611,Ou encore si un medecin qui a deja vu ce cas?,recherche_information,traitement,non,recherche_information_traitement_non,encore si medecin a deja vu ca
453,J'ai un peu évolué depuis mon dernier message : toujurs impossible de m'endormir avec le masque facial (j'avais l'impression d'étouffer...),partage_experience,traitement,negatif,partage_experience_traitement_negatif,peu évolué depuis dernier message toujurs impossible endormir masque facial impression étouffer
580,Pas tout à fait mon commandant !!,fonction_phatique,NA_CATEGORY,positif,fonction_phatique_NA_CATEGORY_positif,pa tout fait commandant
698,appareil goodnight 425 ST CPAP,partage_experience,traitement,non,partage_experience_traitement_non,appareil goodnight NUM st cpap
473,"Bref si quelqu'un peut me conseiller, me dire ce qu'il va se passer maintenant ?",recherche_information,traitement,non,recherche_information_traitement_non,bref si quelqu peut conseiller dire va passer maintenant
106,Merci de votre aide.,fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,merci aide
735,"A moyen terme risque d'AVC, d'infarctus du myocarde, d'hypertension, de diabète, d'accident de la circulation (somnolence au volant)..",partage_experience,diagnostique,non,partage_experience_diagnostique_non,a moyen terme risque avc infarctus myocarde hypertension diabète accident circulation somnolence volant
999,"Et si la douleur intercostale persiste, consultez votre médecin traitant, il vous prescrira un traitement antalgique.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,si douleur intercostale persiste consultez médecin traitant prescrira traitement antalgique
346,Je laisse mon portable allumé mais je coupe la sonnerie.,partage_experience,traitement,non,partage_experience_traitement_non,laisse portable allumé coupe sonnerie
919,"J'ai peur de lui transmettre le virus, sachant que je dois aller travailler.",partage_experience,symptome,negatif,partage_experience_symptome_negatif,peur transmettre virus sachant doi aller travailler
990,"Désormais j'ai mal aux côtes et un peu au dos, quelques fois j'ai une sensation de ""boule"" dans la gorge et une envie de tousser à mon avis c'est juste le stress car je panique facilement.",partage_experience,symptome,negatif,partage_experience_symptome_negatif,désormais mal côtes peu do quelques fois sensation boule gorge envie tousser avis juste stress panique facilement
83,"Je prend du café, mais raisonnablement.",partage_experience,symptome,non,partage_experience_symptome_non,prend café raisonnablement
693,"je porte le masque 5 heures durant, d' une seule traite.",partage_experience,traitement,non,partage_experience_traitement_non,porte masque NUM heures durant seule traite
918,"En ce moment, elle ne peut pas se déplacer pour faire ses courses suite a un lymphome et je dois lui venir en aide.",partage_experience,symptome,non,partage_experience_symptome_non,moment peut pa déplacer faire course suite a lymphome doi venir aide
790,"Bonsoir, moi la nuit de l'enregistrement j'ai eu l'impression d'avoir fait une nuit blanche, pourtant aux vu de l'enregistrement j'ai dormi..",partage_experience,symptome,non,partage_experience_symptome_non,bonsoir nuit enregistrement impression avoir fait nuit blanche pourtant vu enregistrement dormi
530,"Non je ne pense pas, une personne est venu faire un rélevé il y a 3 semaines.",partage_experience,traitement,non,partage_experience_traitement_non,non pense pa personne venu faire rélevé a NUM semaines
299,Car je n'entendais pas parler autant de ce problème qui concernait tant de gens...,partage_experience,diagnostique,negatif,partage_experience_diagnostique_negatif,entendais pa parler autant problème concernait tant gen
814,"On ne sait pas tout de ce nouveau virus, y compris à propos de sa transmission.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,sait pa tout nouveau virus compris propos transmission
822,On nous prescrit en effet de la cortisone en cas de nausées et aussi avant certaine chimiothérapie.,partage_experience,traitement,non,partage_experience_traitement_non,prescrit effet cortisone ca nausées aussi avant certaine chimiothérapie
773,Les deux premiers médecins m'ont dit que c'était de l'anxiété..,partage_experience,symptome,non,partage_experience_symptome_non,deux premier médecins dit anxiété
781,"Dans votre cas, il se peut que ce soit autre chose, mais un test de sommeil aidera à confirmer ou éliminer la possibilité d'un trouble de sommeil.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,ca peut autre chose test sommeil aidera confirmer éliminer possibilité trouble sommeil
230,"il suffit qu'une personne me fasse une présentation d'un véhicule ou , je peux être chez mon conseiller financier, ( expériences vécues ) je suis tellement concentré qu'en fait, quand je me rend compte que je ne respire plus, je me rend aussi compte que je suis dans une sorte de "" trance "", remarque normal, sachant que quand j'analyse la situation, je m'aperçois que quelques fois je m'arrête de respirer pendant 1 mi et quelques ...",partage_experience,symptome,non,partage_experience_symptome_non,suffit personne fasse présentation véhicule peux être conseiller financier expériences vécues tellement concentré fait quand rend compte respire plus rend aussi compte sorte trance remarque normal sachant quand analyse situation aperçois quelques fois arrête respirer pendant NUM mi quelques
884,"Je suis traitée en chimiothérapie (la 6e a eu lieu fin février, donc il y a 3 semaines) pour un sarcome.",partage_experience,traitement,non,partage_experience_traitement_non,traitée chimiothérapie NUM e a lieu fin février a NUM semaines sarcome
380,sommeil non réparateur...,partage_experience,symptome,non,partage_experience_symptome_non,sommeil non réparateur
221,"Être appareillé à 14 ans, c'est dur quand même.",partage_experience,traitement,non,partage_experience_traitement_non,être appareillé NUM an dur quand
634,Je suis en train de dormir mais à un moment je commence à me réveiller et je me rends compte qu'il y a un truc qui va pas...,partage_experience,symptome,negatif,partage_experience_symptome_negatif,train dormir moment commence réveiller rends compte a truc va pa
752,- Sueurs nocturnes,partage_experience,symptome,non,partage_experience_symptome_non,sueurs nocturne
851,Si je ne vais plus la voir je ne sais pas comment elle pourra faire.,partage_experience,traitement,non,partage_experience_traitement_non,si vais plus voir sais pa comment pourra faire
486,"Maintenant les enfants hyper actifs peuvent avoir des troubles de sommeil, là dans ce cas voir un pédo psychologue pour un bilan et orthophoniste",partage_experience,diagnostique,non,partage_experience_diagnostique_non,maintenant enfants hyper actifs peuvent avoir trouble sommeil là ca voir pédo psychologue bilan orthophoniste
749,- Réveils nocturnes fréquents,partage_experience,symptome,non,partage_experience_symptome_non,réveils nocturne fréquents
788,propose t'il dans relaxant pour faciliter l'endormissement ?,recherche_information,traitement,non,recherche_information_traitement_non,propose relaxant faciliter endormissement
409,Je précise que cette personne avait accepté d'avoir durant 10 jours des électrodes partout sur la tête et tout était enregistrer jour et nuit.,partage_experience,traitement,non,partage_experience_traitement_non,précise cette personne accepté avoir durant NUM jours électrodes partout tête tout enregistrer jour nuit
528,Merci pour vos conseils.,fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,merci conseils
34,"Changement de matelas, six mois de kinésithérapie pour un résultat nul.",partage_experience,traitement,non,partage_experience_traitement_non,changement matelas six mois kinésithérapie résultat nul
156,Comment savoir ?,recherche_information,symptome,non,recherche_information_symptome_non,comment savoir
741,"- Très grande difficulté à me réveiller le matin (environ une heure/une heure trente avant d' ""émerger"" ).",partage_experience,symptome,non,partage_experience_symptome_non,très grande difficulté réveiller matin environ heure heure trente avant émerger
178,"Là aussi, c'et du système D.",partage_experience,traitement,non,partage_experience_traitement_non,là aussi système
202,Bonjour Jenny Parker :),fonction_phatique,NA_CATEGORY,positif,fonction_phatique_NA_CATEGORY_positif,bonjour jenny parker EMOJI SMILE
57,J'ai la même chose et c'est paniquant totalement quand ça se produit.,partage_experience,symptome,negatif,partage_experience_symptome_negatif,chose paniquant totalement quand produit
606,"Hier, quelle ne fut pas ma surprise lorsque j'ai vu sur wikipedia que l'un des effets secondaires de la VPPC est le pneumothorax!!!",partage_experience,diagnostique,positif,partage_experience_diagnostique_positif,hier quelle pa surprise lorsque vu wikipedia effets secondaires vppc pneumothorax
145,Le technicien est passé et m'a réajusté le masque ce qui peut expliquer ma bonne nuit.,partage_experience,traitement,non,partage_experience_traitement_non,technicien passé a réajusté masque peut expliquer bonne nuit
785,Pourriez vous m'expliquer les exercices pour muscler la langue ?,recherche_information,traitement,non,recherche_information_traitement_non,pourriez expliquer exercices muscler langue
36,"Dommage collatéral, je me lève de nouveau épuisé depuis l’arret.",partage_experience,symptome,non,partage_experience_symptome_non,dommage collatéral lève nouveau épuisé depuis arret
235,"pour info, et avant que cela soit proposer ;-) j'ai vu 3 médecins généralistes différents, ils m'ont tous renvoyer avec...",partage_experience,traitement,negatif,partage_experience_traitement_negatif,info avant cela proposer vu NUM médecins généralistes différents tous renvoyer
800,"Le mien, qui est modéré-léger, n'est pas apparu sur le test maison, mais sur le test à l'hôpital oui.",partage_experience,traitement,non,partage_experience_traitement_non,mien modéré léger pa apparu test maison test hôpital oui
420,"Hier, les prestataires qui m’ont fait les tests de nuit m’apportent l’appareil avec le masque et l’humidificateur et m’explique le fonctionnement…",partage_experience,traitement,non,partage_experience_traitement_non,hier prestataires fait test nuit apportent appareil masque humidificateur explique fonctionnement
377,J’ai fait des tests à la maison qui n’avaient rien donné mais le Neurologue a voulu pousser quand même par acquis de conscience.,partage_experience,traitement,non,partage_experience_traitement_non,fait test maison rien donné neurologue a voulu pousser quand acquis conscience
72,"Il m a fait faire un test a l'effort, il en ai ressorti qu il ne s'agissait pas d'apnee du sommeil mais certainement d'un probleme d'hygiène de vie et de stress: tabac, café, alimentation grasse, manque de sport, etc....",partage_experience,diagnostique,non,partage_experience_diagnostique_non,a fait faire test a effort ressorti agissait pa apnee sommeil certainement probleme hygiène vie stress tabac café alimentation grasse manque sport etc
706,"si oui, je voudrais savoir si elle peut conduire à une sciatique car peu de temps après chaque réveil, j'ai une jambe qui est très très douloureuse de la fesse, en passant par la cuisse, le derriere du mollet et s'arrête juste avant le pied.",recherche_information,diagnostique,non,recherche_information_diagnostique_non,si oui voudrais savoir si peut conduire sciatique peu temp après chaque réveil jambe très très douloureuse fesse passant cuisse derriere mollet arrête juste avant pied
92,"""Mon cas : apnées centrales à l'endormissement.",partage_experience,symptome,non,partage_experience_symptome_non,ca apnées centrales endormissement
521,"Dès ma 3ème nuit avec l'appareil je me suis réellement sentie revivre, j'étais si fatiguée depuis tant d'année que je ne me souvenais pas m'être déjà sentie aussi bien, seulement....",partage_experience,symptome,positif,partage_experience_symptome_positif,dès NUM ème nuit appareil réellement sentie revivre si fatiguée depuis tant année souvenais pa être déjà sentie aussi bien seulement
396,Voilà j'ai une amie qui respire en apnée sans cesse DURANT LA JOURNEE.,partage_experience,symptome,non,partage_experience_symptome_non,voilà amie respire apnée cesse durant journee
744,"Aussi, si je ne mettais pas de réveil, je pourrais dormir jusqu'à 14-15h avant de me réveiller ""naturellement"".",partage_experience,symptome,non,partage_experience_symptome_non,aussi si mettais pa réveil pourrais dormir jusqu NUM NUM h avant réveiller naturellement
594,Maintenant je ne nie pas qu'il y a peut-être plusieurs apnées.,partage_experience,symptome,non,partage_experience_symptome_non,maintenant nie pa a peut être plusieurs apnées
330,je le sortais au bout d’une ou deux heures..,partage_experience,symptome,non,partage_experience_symptome_non,sortais bout deux heures
96,"Pour faire simple, en trois jours, c'était terminé.",partage_experience,traitement,non,partage_experience_traitement_non,faire simple trois jours terminé
391,"Merci Jean,",fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,merci jean
337,J’ai envie de vous dire qu’il ne faut jamais perdre espoir.,partage_experience,diagnostique,positif,partage_experience_diagnostique_positif,envie dire faut jamais perdre espoir
161,je vais voir comment se passe ma nuit à venir...,partage_experience,symptome,non,partage_experience_symptome_non,vais voir comment passe nuit venir
160,"J'ai changé le filtre de la machine (il était noir, c'est dingue !) et même tout changé avec un masque neuf parce que le petit filtre sous le masque était noir aussi.",partage_experience,traitement,non,partage_experience_traitement_non,changé filtre machine noir dingue tout changé masque neuf parce petit filtre sou masque noir aussi
503,mais j'ai voulut lui faire confiance,partage_experience,symptome,negatif,partage_experience_symptome_negatif,voulut faire confiance
323,Moi je le trouve mieux que les autres même si pour l’instant je ne m’habitue pas non plus..,partage_experience,traitement,positif,partage_experience_traitement_positif,trouve mieux autres si instant habitue pa non plus
37,Mon pneumologue m’oriente aujourd’hui vers une solution d’orthèse mandibulaire.,partage_experience,traitement,non,partage_experience_traitement_non,pneumologue oriente aujourd hui vers solution orthèse mandibulaire
197,Comment vous a-t-on diagnostiqué cela ?,recherche_information,diagnostique,non,recherche_information_diagnostique_non,comment a diagnostiqué cela
90,"Bonjour, même problème avec une petite cerise sur le gâteau : les sédatifs légers aggravent le problème.",partage_experience,traitement,negatif,partage_experience_traitement_negatif,bonjour problème petite cerise gâteau sédatifs légers aggravent problème
464,Suite a cette découverte l'orl avait souhaiter opérer ma fille le plus vite possible des amygdales et m'avait dit que souvent le problème était régler par cette intervention et que je devrait voir le comportement de ma fille changer ..,partage_experience,symptome,non,partage_experience_symptome_non,suite a cette découverte orl souhaiter opérer fille plus vite possible amygdales dit souvent problème régler cette intervention devrait voir comportement fille changer
583,Le danger de mort n'est pas seulement pour l'apnéique puisqu'il commence à se dire qu'un tué sur trois sur la route serait du à un endormissement au volant et sans parler des blessés.,partage_experience,diagnostique,non,partage_experience_diagnostique_non,danger mort pa seulement apnéique puisqu commence dire tué trois route endormissement volant parler blessés
360,Mon beau-frére qui est appareillé aussi a encore plus de problème que moi,partage_experience,traitement,negatif,partage_experience_traitement_negatif,beau frére appareillé aussi a encore plus problème
95,"Après un article en anglais sur un site américain, je m'intéresse aux échange gazeux et à leur rôle sur le cerveau pour contrôler la respiration pendant qu'on dort.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,après article anglais site américain intéresse échange gazeux rôle cerveau contrôler respiration pendant dort
282,mais elle m’a conseillé d’en parler avec mon médecin traitant.,partage_experience,traitement,non,partage_experience_traitement_non,a conseillé parler médecin traitant
793,"Je ne pense pas qu'un relaxant soit donné puisqu'il pourrait fausser les résultats en causant un relâchement des muscles impliqués dans le troubles de sommeil, mais je peux me tromper.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,pense pa relaxant donné puisqu pourrait fausser résultats causant relâchement muscle impliqués trouble sommeil peux tromper
369,"J’ai consulté un spécialiste qui m’oriente, d’apres Mes symptômes vers des apnées du sommeil.",partage_experience,traitement,non,partage_experience_traitement_non,consulté spécialiste oriente apres symptômes vers apnées sommeil
886,Il a donc été en contact :,partage_experience,symptome,non,partage_experience_symptome_non,a contact
968,"Je me permets deux petites questions (peut-etre naïves, je m'en excuse d'avance).",fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,permets deux petite question peut etre naïves excuse avance
80,Consulte quand même si cela te pose un problème car ce n'est pas normal d'avoir du mal à trouver le sommeil à 17 ans,partage_experience,traitement,negatif,partage_experience_traitement_negatif,consulte quand si cela pose problème pa normal avoir mal trouver sommeil NUM an
263,"Aussi surtout ne pa prendre les apnée a la légère deja elle commence a nous pourrir physiquement, et ensuite mentalement....",partage_experience,diagnostique,negatif,partage_experience_diagnostique_negatif,aussi surtout pa prendre apnée a légère deja commence a pourrir physiquement ensuite mentalement
991,"Je n'ai pas vraiment envie d'appelé et ""déranger""mon médecin alors que d'autre personnes en ont s'en doute plus besoins au vu de la situation.",partage_experience,traitement,non,partage_experience_traitement_non,pa vraiment envie appelé déranger médecin alors autre personnes doute plus besoins vu situation
334,Depuis que je l’ai je l’ai gardé environ 3h sans dormir et je la vire car sinon j’ai l’impression que je vais peter un câble..,partage_experience,symptome,negatif,partage_experience_symptome_negatif,depuis gardé environ NUM h dormir vire sinon impression vais peter câble
402,"alors déja ,personne ne respire en apnée puisque des apnées c des arrêts respiratoires &amp; pour le problèmes d'arrêt respiratoire ,il faut aller voir un médecin &amp; lui en parler",partage_experience,diagnostique,non,partage_experience_diagnostique_non,alors déja personne respire apnée puisque apnées arrêts respiratoires amp problèmes arrêt respiratoire faut aller voir médecin amp parler
602,"La premiere question que je me suis pose et que j'ai donc pose aux medecins est ""la VPPC qui m'envoie de l'air en continu ne serait-elle pas une cause possible de ce pneumothorax?""",recherche_information,diagnostique,non,recherche_information_diagnostique_non,premiere question pose pose medecins vppc envoie air continu pa cause possible pneumothorax
483,Le médecin spécialiste pneumologue serait amené à vous répondre avec un complément de diagnostic avec l'orl .,partage_experience,traitement,non,partage_experience_traitement_non,médecin spécialiste pneumologue amené répondre complément diagnostic orl
824,"Je m'inquiète aussi des contacts très rapprochés que nous avons avec le personnel de l'hôpital (lors des auscultations par exemple) et des laboratoires d’analyses sans aucun masque ni sur nous ni sur eux, alors que nous sommes fragiles.",partage_experience,traitement,non,partage_experience_traitement_non,inquiète aussi contact très rapprochés avon personnel hôpital lors auscultation exemple laboratoires analysis aucun masque alors somme fragiles
719,Bonne année à tous,fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,bonne année tous
673,"Je ressent depuis une dizaine de jours, une gêne sur la poitrine, comme si mes poumons étaient fatigué de ce traitement de forcing...",partage_experience,symptome,negatif,partage_experience_symptome_negatif,ressent depuis dizaine jours gêne poitrine comme si poumons fatigué traitement forcing
507,Il m'envoit dans un CHU chez l'un de ses confrères qui lui nous dirigeras vers les bon services,partage_experience,traitement,non,partage_experience_traitement_non,envoit chu confrères dirigeras vers bon service
111,"Je ne peux plus expirer, j'ai trop d'air.",partage_experience,symptome,non,partage_experience_symptome_non,peux plus expirer trop air
417,Ce cardiologue m’a prescrit un test d’effort et j’ai eu droit à plusieurs « tests » nocturnes à domicile avec un appareillage.,partage_experience,traitement,non,partage_experience_traitement_non,cardiologue a prescrit test effort droit plusieurs test nocturne domicile appareillage
716,Je ne me séparerai jamais de ma petite chérie.,partage_experience,traitement,positif,partage_experience_traitement_positif,séparerai jamais petite chérie
705,est-ce une apnée du sommeil ?,recherche_information,diagnostique,non,recherche_information_diagnostique_non,apnée sommeil
722,le personnel de l'hôpital m'a clairement répondu que ce serait à vie.,partage_experience,traitement,non,partage_experience_traitement_non,personnel hôpital a clairement répondu vie
128,"Avec l’appareil, il dort mieux, ne ronfle plus et son sommeil est réparateur.",partage_experience,traitement,non,partage_experience_traitement_non,appareil dort mieux ronfle plus sommeil réparateur
